issue	ymd	term	record	wan	qian	bai	shi	ge
"180906001"	"2018-09-06"	"1"	"4,5,9,3,2"	"4"	"5"	"9"	"3"	"2"
"180906002"	"2018-09-06"	"2"	"1,6,6,8,5"	"1"	"6"	"6"	"8"	"5"
"180906003"	"2018-09-06"	"3"	"3,3,7,9,8"	"3"	"3"	"7"	"9"	"8"
"180906004"	"2018-09-06"	"4"	"1,7,6,1,5"	"1"	"7"	"6"	"1"	"5"
"180906005"	"2018-09-06"	"5"	"0,8,0,6,5"	"0"	"8"	"0"	"6"	"5"
"180906006"	"2018-09-06"	"6"	"2,0,3,7,9"	"2"	"0"	"3"	"7"	"9"
"180906007"	"2018-09-06"	"7"	"0,7,6,7,7"	"0"	"7"	"6"	"7"	"7"
"180906008"	"2018-09-06"	"8"	"3,4,0,1,1"	"3"	"4"	"0"	"1"	"1"
"180906009"	"2018-09-06"	"9"	"5,0,8,5,5"	"5"	"0"	"8"	"5"	"5"
"180906010"	"2018-09-06"	"10"	"9,0,1,8,9"	"9"	"0"	"1"	"8"	"9"
"180906011"	"2018-09-06"	"11"	"0,7,4,5,5"	"0"	"7"	"4"	"5"	"5"
"180906012"	"2018-09-06"	"12"	"2,5,5,0,5"	"2"	"5"	"5"	"0"	"5"
"180906013"	"2018-09-06"	"13"	"6,6,4,9,0"	"6"	"6"	"4"	"9"	"0"
"180906014"	"2018-09-06"	"14"	"2,1,0,8,0"	"2"	"1"	"0"	"8"	"0"
"180906015"	"2018-09-06"	"15"	"1,8,4,5,0"	"1"	"8"	"4"	"5"	"0"
"180906016"	"2018-09-06"	"16"	"9,1,6,4,1"	"9"	"1"	"6"	"4"	"1"
"180906017"	"2018-09-06"	"17"	"2,6,1,8,6"	"2"	"6"	"1"	"8"	"6"
"180906018"	"2018-09-06"	"18"	"9,7,5,5,3"	"9"	"7"	"5"	"5"	"3"
"180906019"	"2018-09-06"	"19"	"7,0,8,3,6"	"7"	"0"	"8"	"3"	"6"
"180906020"	"2018-09-06"	"20"	"9,1,0,5,0"	"9"	"1"	"0"	"5"	"0"
"180906021"	"2018-09-06"	"21"	"6,1,7,9,0"	"6"	"1"	"7"	"9"	"0"
"180906022"	"2018-09-06"	"22"	"1,4,6,7,3"	"1"	"4"	"6"	"7"	"3"
"180906023"	"2018-09-06"	"23"	"3,4,9,1,7"	"3"	"4"	"9"	"1"	"7"
"180906024"	"2018-09-06"	"24"	"8,5,9,3,9"	"8"	"5"	"9"	"3"	"9"
"180906025"	"2018-09-06"	"25"	"9,0,5,8,2"	"9"	"0"	"5"	"8"	"2"
"180906026"	"2018-09-06"	"26"	"1,8,2,7,4"	"1"	"8"	"2"	"7"	"4"
"180906027"	"2018-09-06"	"27"	"5,0,7,2,4"	"5"	"0"	"7"	"2"	"4"
"180906028"	"2018-09-06"	"28"	"5,4,4,3,2"	"5"	"4"	"4"	"3"	"2"
"180906029"	"2018-09-06"	"29"	"5,1,9,8,2"	"5"	"1"	"9"	"8"	"2"
"180906030"	"2018-09-06"	"30"	"0,1,4,0,1"	"0"	"1"	"4"	"0"	"1"
"180906031"	"2018-09-06"	"31"	"0,8,8,4,7"	"0"	"8"	"8"	"4"	"7"
"180906032"	"2018-09-06"	"32"	"8,3,7,4,5"	"8"	"3"	"7"	"4"	"5"
"180906033"	"2018-09-06"	"33"	"4,2,1,6,1"	"4"	"2"	"1"	"6"	"1"
"180906034"	"2018-09-06"	"34"	"7,0,7,9,4"	"7"	"0"	"7"	"9"	"4"
"180906035"	"2018-09-06"	"35"	"4,6,2,5,6"	"4"	"6"	"2"	"5"	"6"
"180906036"	"2018-09-06"	"36"	"3,1,3,5,1"	"3"	"1"	"3"	"5"	"1"
"180906037"	"2018-09-06"	"37"	"9,4,2,5,4"	"9"	"4"	"2"	"5"	"4"
"180906038"	"2018-09-06"	"38"	"6,2,3,4,5"	"6"	"2"	"3"	"4"	"5"
"180906039"	"2018-09-06"	"39"	"1,6,9,7,8"	"1"	"6"	"9"	"7"	"8"
"180906040"	"2018-09-06"	"40"	"3,3,4,5,7"	"3"	"3"	"4"	"5"	"7"
"180906041"	"2018-09-06"	"41"	"9,9,5,2,5"	"9"	"9"	"5"	"2"	"5"
"180906042"	"2018-09-06"	"42"	"0,9,4,0,9"	"0"	"9"	"4"	"0"	"9"
"180906043"	"2018-09-06"	"43"	"1,4,6,1,8"	"1"	"4"	"6"	"1"	"8"
"180906044"	"2018-09-06"	"44"	"3,4,0,0,9"	"3"	"4"	"0"	"0"	"9"
"180906045"	"2018-09-06"	"45"	"9,0,1,3,9"	"9"	"0"	"1"	"3"	"9"
"180906046"	"2018-09-06"	"46"	"7,3,1,5,9"	"7"	"3"	"1"	"5"	"9"
"180906047"	"2018-09-06"	"47"	"2,0,2,8,0"	"2"	"0"	"2"	"8"	"0"
"180906048"	"2018-09-06"	"48"	"7,3,1,2,9"	"7"	"3"	"1"	"2"	"9"
"180906049"	"2018-09-06"	"49"	"0,7,7,1,7"	"0"	"7"	"7"	"1"	"7"
"180906050"	"2018-09-06"	"50"	"5,9,7,4,1"	"5"	"9"	"7"	"4"	"1"
"180906051"	"2018-09-06"	"51"	"1,8,1,1,3"	"1"	"8"	"1"	"1"	"3"
"180906052"	"2018-09-06"	"52"	"9,9,0,9,0"	"9"	"9"	"0"	"9"	"0"
"180906053"	"2018-09-06"	"53"	"1,0,0,8,7"	"1"	"0"	"0"	"8"	"7"
"180906054"	"2018-09-06"	"54"	"7,0,1,1,9"	"7"	"0"	"1"	"1"	"9"
"180906055"	"2018-09-06"	"55"	"0,4,3,7,7"	"0"	"4"	"3"	"7"	"7"
"180906056"	"2018-09-06"	"56"	"9,8,1,9,1"	"9"	"8"	"1"	"9"	"1"
"180906057"	"2018-09-06"	"57"	"1,6,6,7,8"	"1"	"6"	"6"	"7"	"8"
"180906058"	"2018-09-06"	"58"	"4,5,2,1,0"	"4"	"5"	"2"	"1"	"0"
"180906059"	"2018-09-06"	"59"	"2,8,0,6,6"	"2"	"8"	"0"	"6"	"6"
"180906060"	"2018-09-06"	"60"	"0,6,2,8,7"	"0"	"6"	"2"	"8"	"7"
"180906061"	"2018-09-06"	"61"	"3,3,4,1,6"	"3"	"3"	"4"	"1"	"6"
"180906062"	"2018-09-06"	"62"	"0,1,4,3,5"	"0"	"1"	"4"	"3"	"5"
"180906063"	"2018-09-06"	"63"	"9,3,9,4,3"	"9"	"3"	"9"	"4"	"3"
"180906064"	"2018-09-06"	"64"	"0,6,7,3,7"	"0"	"6"	"7"	"3"	"7"
"180906065"	"2018-09-06"	"65"	"8,6,4,3,5"	"8"	"6"	"4"	"3"	"5"
"180906066"	"2018-09-06"	"66"	"0,1,1,4,0"	"0"	"1"	"1"	"4"	"0"
"180906067"	"2018-09-06"	"67"	"0,4,7,0,6"	"0"	"4"	"7"	"0"	"6"
"180906068"	"2018-09-06"	"68"	"8,5,8,9,2"	"8"	"5"	"8"	"9"	"2"
"180906069"	"2018-09-06"	"69"	"4,9,9,1,8"	"4"	"9"	"9"	"1"	"8"
"180906070"	"2018-09-06"	"70"	"7,8,1,6,0"	"7"	"8"	"1"	"6"	"0"
"180906071"	"2018-09-06"	"71"	"4,7,9,6,6"	"4"	"7"	"9"	"6"	"6"
"180906072"	"2018-09-06"	"72"	"0,9,9,4,2"	"0"	"9"	"9"	"4"	"2"
"180906073"	"2018-09-06"	"73"	"8,4,2,2,7"	"8"	"4"	"2"	"2"	"7"
"180906074"	"2018-09-06"	"74"	"1,7,4,1,2"	"1"	"7"	"4"	"1"	"2"
"180906075"	"2018-09-06"	"75"	"2,0,5,4,6"	"2"	"0"	"5"	"4"	"6"
"180906076"	"2018-09-06"	"76"	"3,4,0,4,5"	"3"	"4"	"0"	"4"	"5"
"180906077"	"2018-09-06"	"77"	"9,6,6,3,4"	"9"	"6"	"6"	"3"	"4"
"180906078"	"2018-09-06"	"78"	"6,3,8,4,6"	"6"	"3"	"8"	"4"	"6"
"180906079"	"2018-09-06"	"79"	"1,6,8,2,0"	"1"	"6"	"8"	"2"	"0"
"180906080"	"2018-09-06"	"80"	"8,9,7,6,4"	"8"	"9"	"7"	"6"	"4"
"180906081"	"2018-09-06"	"81"	"5,4,7,7,3"	"5"	"4"	"7"	"7"	"3"
"180906082"	"2018-09-06"	"82"	"0,9,0,9,5"	"0"	"9"	"0"	"9"	"5"
"180906083"	"2018-09-06"	"83"	"0,4,3,1,2"	"0"	"4"	"3"	"1"	"2"
"180906084"	"2018-09-06"	"84"	"1,5,0,1,3"	"1"	"5"	"0"	"1"	"3"
"180906085"	"2018-09-06"	"85"	"8,7,3,8,3"	"8"	"7"	"3"	"8"	"3"
"180906086"	"2018-09-06"	"86"	"3,1,2,6,5"	"3"	"1"	"2"	"6"	"5"
"180906087"	"2018-09-06"	"87"	"3,2,9,0,3"	"3"	"2"	"9"	"0"	"3"
"180906088"	"2018-09-06"	"88"	"2,2,4,3,8"	"2"	"2"	"4"	"3"	"8"
"180906089"	"2018-09-06"	"89"	"4,5,5,4,5"	"4"	"5"	"5"	"4"	"5"
"180906090"	"2018-09-06"	"90"	"6,8,3,5,1"	"6"	"8"	"3"	"5"	"1"
"180906091"	"2018-09-06"	"91"	"8,2,6,6,3"	"8"	"2"	"6"	"6"	"3"
"180906092"	"2018-09-06"	"92"	"8,4,8,8,0"	"8"	"4"	"8"	"8"	"0"
"180906093"	"2018-09-06"	"93"	"6,8,2,5,0"	"6"	"8"	"2"	"5"	"0"
"180906094"	"2018-09-06"	"94"	"0,8,8,8,9"	"0"	"8"	"8"	"8"	"9"
"180906095"	"2018-09-06"	"95"	"7,6,8,1,0"	"7"	"6"	"8"	"1"	"0"
"180906096"	"2018-09-06"	"96"	"5,1,8,9,6"	"5"	"1"	"8"	"9"	"6"
"180906097"	"2018-09-06"	"97"	"9,6,8,9,9"	"9"	"6"	"8"	"9"	"9"
"180906098"	"2018-09-06"	"98"	"0,7,7,3,9"	"0"	"7"	"7"	"3"	"9"
"180906099"	"2018-09-06"	"99"	"6,1,7,2,2"	"6"	"1"	"7"	"2"	"2"
"180906100"	"2018-09-06"	"100"	"7,5,9,2,4"	"7"	"5"	"9"	"2"	"4"
"180906101"	"2018-09-06"	"101"	"7,4,3,9,1"	"7"	"4"	"3"	"9"	"1"
"180906102"	"2018-09-06"	"102"	"4,9,8,9,8"	"4"	"9"	"8"	"9"	"8"
"180906103"	"2018-09-06"	"103"	"0,8,4,1,3"	"0"	"8"	"4"	"1"	"3"
"180906104"	"2018-09-06"	"104"	"4,7,5,9,2"	"4"	"7"	"5"	"9"	"2"
"180906105"	"2018-09-06"	"105"	"2,9,2,4,9"	"2"	"9"	"2"	"4"	"9"
"180906106"	"2018-09-06"	"106"	"3,8,8,7,5"	"3"	"8"	"8"	"7"	"5"
"180906107"	"2018-09-06"	"107"	"9,1,4,6,2"	"9"	"1"	"4"	"6"	"2"
"180906108"	"2018-09-06"	"108"	"2,3,4,9,1"	"2"	"3"	"4"	"9"	"1"
"180906109"	"2018-09-06"	"109"	"3,7,8,1,8"	"3"	"7"	"8"	"1"	"8"
"180906110"	"2018-09-06"	"110"	"5,5,0,0,9"	"5"	"5"	"0"	"0"	"9"
"180906111"	"2018-09-06"	"111"	"3,9,9,5,4"	"3"	"9"	"9"	"5"	"4"
"180906112"	"2018-09-06"	"112"	"2,4,9,4,0"	"2"	"4"	"9"	"4"	"0"
"180906113"	"2018-09-06"	"113"	"0,5,4,1,7"	"0"	"5"	"4"	"1"	"7"
"180906114"	"2018-09-06"	"114"	"5,9,6,9,0"	"5"	"9"	"6"	"9"	"0"
"180906115"	"2018-09-06"	"115"	"6,6,8,7,8"	"6"	"6"	"8"	"7"	"8"
"180906116"	"2018-09-06"	"116"	"7,2,4,0,7"	"7"	"2"	"4"	"0"	"7"
"180906117"	"2018-09-06"	"117"	"6,7,9,3,5"	"6"	"7"	"9"	"3"	"5"
"180906118"	"2018-09-06"	"118"	"8,8,3,1,7"	"8"	"8"	"3"	"1"	"7"
"180906119"	"2018-09-06"	"119"	"0,2,9,0,4"	"0"	"2"	"9"	"0"	"4"
"180906120"	"2018-09-06"	"120"	"0,1,3,4,3"	"0"	"1"	"3"	"4"	"3"
"180906121"	"2018-09-06"	"121"	"4,3,0,5,8"	"4"	"3"	"0"	"5"	"8"
"180906122"	"2018-09-06"	"122"	"6,6,2,6,3"	"6"	"6"	"2"	"6"	"3"
"180906123"	"2018-09-06"	"123"	"7,5,0,1,6"	"7"	"5"	"0"	"1"	"6"
"180906124"	"2018-09-06"	"124"	"4,6,7,2,7"	"4"	"6"	"7"	"2"	"7"
"180906125"	"2018-09-06"	"125"	"5,8,9,6,3"	"5"	"8"	"9"	"6"	"3"
"180906126"	"2018-09-06"	"126"	"2,6,7,8,9"	"2"	"6"	"7"	"8"	"9"
"180906127"	"2018-09-06"	"127"	"9,8,5,0,6"	"9"	"8"	"5"	"0"	"6"
"180906128"	"2018-09-06"	"128"	"5,1,2,8,6"	"5"	"1"	"2"	"8"	"6"
"180906129"	"2018-09-06"	"129"	"8,9,8,5,3"	"8"	"9"	"8"	"5"	"3"
"180906130"	"2018-09-06"	"130"	"9,0,7,0,7"	"9"	"0"	"7"	"0"	"7"
"180906131"	"2018-09-06"	"131"	"9,1,4,3,3"	"9"	"1"	"4"	"3"	"3"
"180906132"	"2018-09-06"	"132"	"0,8,5,2,0"	"0"	"8"	"5"	"2"	"0"
"180906133"	"2018-09-06"	"133"	"6,0,7,6,2"	"6"	"0"	"7"	"6"	"2"
"180906134"	"2018-09-06"	"134"	"3,6,1,9,5"	"3"	"6"	"1"	"9"	"5"
"180906135"	"2018-09-06"	"135"	"3,9,7,1,8"	"3"	"9"	"7"	"1"	"8"
"180906136"	"2018-09-06"	"136"	"4,6,8,0,9"	"4"	"6"	"8"	"0"	"9"
"180906137"	"2018-09-06"	"137"	"8,0,5,2,6"	"8"	"0"	"5"	"2"	"6"
"180906138"	"2018-09-06"	"138"	"9,0,2,6,3"	"9"	"0"	"2"	"6"	"3"
"180906139"	"2018-09-06"	"139"	"3,9,8,4,4"	"3"	"9"	"8"	"4"	"4"
"180906140"	"2018-09-06"	"140"	"9,3,3,4,9"	"9"	"3"	"3"	"4"	"9"
"180906141"	"2018-09-06"	"141"	"7,7,5,2,5"	"7"	"7"	"5"	"2"	"5"
"180906142"	"2018-09-06"	"142"	"0,4,2,3,8"	"0"	"4"	"2"	"3"	"8"
"180906143"	"2018-09-06"	"143"	"3,3,1,7,6"	"3"	"3"	"1"	"7"	"6"
"180906144"	"2018-09-06"	"144"	"2,8,2,4,1"	"2"	"8"	"2"	"4"	"1"
"180906145"	"2018-09-06"	"145"	"4,6,1,8,6"	"4"	"6"	"1"	"8"	"6"
"180906146"	"2018-09-06"	"146"	"5,3,5,9,2"	"5"	"3"	"5"	"9"	"2"
"180906147"	"2018-09-06"	"147"	"5,1,1,8,5"	"5"	"1"	"1"	"8"	"5"
"180906148"	"2018-09-06"	"148"	"6,3,6,2,8"	"6"	"3"	"6"	"2"	"8"
"180906149"	"2018-09-06"	"149"	"4,2,2,0,5"	"4"	"2"	"2"	"0"	"5"
"180906150"	"2018-09-06"	"150"	"5,6,2,4,1"	"5"	"6"	"2"	"4"	"1"
"180906151"	"2018-09-06"	"151"	"1,9,5,2,7"	"1"	"9"	"5"	"2"	"7"
"180906152"	"2018-09-06"	"152"	"2,3,5,3,1"	"2"	"3"	"5"	"3"	"1"
"180906153"	"2018-09-06"	"153"	"8,1,1,0,9"	"8"	"1"	"1"	"0"	"9"
"180906154"	"2018-09-06"	"154"	"2,6,5,4,2"	"2"	"6"	"5"	"4"	"2"
"180906155"	"2018-09-06"	"155"	"7,9,3,8,7"	"7"	"9"	"3"	"8"	"7"
"180906156"	"2018-09-06"	"156"	"4,5,9,2,2"	"4"	"5"	"9"	"2"	"2"
"180906157"	"2018-09-06"	"157"	"9,8,1,0,0"	"9"	"8"	"1"	"0"	"0"
"180906158"	"2018-09-06"	"158"	"8,4,7,8,9"	"8"	"4"	"7"	"8"	"9"
"180906159"	"2018-09-06"	"159"	"6,7,3,9,0"	"6"	"7"	"3"	"9"	"0"
"180906160"	"2018-09-06"	"160"	"5,7,7,4,7"	"5"	"7"	"7"	"4"	"7"
"180906161"	"2018-09-06"	"161"	"9,6,0,4,2"	"9"	"6"	"0"	"4"	"2"
"180906162"	"2018-09-06"	"162"	"7,3,0,3,1"	"7"	"3"	"0"	"3"	"1"
"180906163"	"2018-09-06"	"163"	"4,4,1,0,2"	"4"	"4"	"1"	"0"	"2"
"180906164"	"2018-09-06"	"164"	"9,7,8,6,0"	"9"	"7"	"8"	"6"	"0"
"180906165"	"2018-09-06"	"165"	"3,9,5,2,3"	"3"	"9"	"5"	"2"	"3"
"180906166"	"2018-09-06"	"166"	"9,1,7,2,8"	"9"	"1"	"7"	"2"	"8"
"180906167"	"2018-09-06"	"167"	"0,2,9,4,1"	"0"	"2"	"9"	"4"	"1"
"180906168"	"2018-09-06"	"168"	"1,0,9,7,4"	"1"	"0"	"9"	"7"	"4"
"180906169"	"2018-09-06"	"169"	"4,7,5,0,1"	"4"	"7"	"5"	"0"	"1"
"180906170"	"2018-09-06"	"170"	"9,1,7,0,6"	"9"	"1"	"7"	"0"	"6"
"180906171"	"2018-09-06"	"171"	"0,8,2,1,7"	"0"	"8"	"2"	"1"	"7"
"180906172"	"2018-09-06"	"172"	"1,2,7,4,0"	"1"	"2"	"7"	"4"	"0"
"180906173"	"2018-09-06"	"173"	"5,5,9,1,6"	"5"	"5"	"9"	"1"	"6"
"180906174"	"2018-09-06"	"174"	"0,0,1,1,6"	"0"	"0"	"1"	"1"	"6"
"180906175"	"2018-09-06"	"175"	"3,7,5,0,3"	"3"	"7"	"5"	"0"	"3"
"180906176"	"2018-09-06"	"176"	"4,9,2,8,7"	"4"	"9"	"2"	"8"	"7"
"180906177"	"2018-09-06"	"177"	"4,3,1,1,4"	"4"	"3"	"1"	"1"	"4"
"180906178"	"2018-09-06"	"178"	"2,5,4,1,8"	"2"	"5"	"4"	"1"	"8"
"180906179"	"2018-09-06"	"179"	"5,1,8,8,5"	"5"	"1"	"8"	"8"	"5"
"180906180"	"2018-09-06"	"180"	"1,2,5,2,4"	"1"	"2"	"5"	"2"	"4"
"180906181"	"2018-09-06"	"181"	"5,1,0,2,9"	"5"	"1"	"0"	"2"	"9"
"180906182"	"2018-09-06"	"182"	"6,2,4,9,2"	"6"	"2"	"4"	"9"	"2"
"180906183"	"2018-09-06"	"183"	"7,8,3,7,4"	"7"	"8"	"3"	"7"	"4"
"180906184"	"2018-09-06"	"184"	"8,5,1,3,2"	"8"	"5"	"1"	"3"	"2"
"180906185"	"2018-09-06"	"185"	"3,0,3,3,5"	"3"	"0"	"3"	"3"	"5"
"180906186"	"2018-09-06"	"186"	"8,2,7,5,8"	"8"	"2"	"7"	"5"	"8"
"180906187"	"2018-09-06"	"187"	"3,5,4,9,1"	"3"	"5"	"4"	"9"	"1"
"180906188"	"2018-09-06"	"188"	"5,2,8,8,9"	"5"	"2"	"8"	"8"	"9"
"180906189"	"2018-09-06"	"189"	"3,8,5,7,8"	"3"	"8"	"5"	"7"	"8"
"180906190"	"2018-09-06"	"190"	"9,8,3,2,4"	"9"	"8"	"3"	"2"	"4"
"180906191"	"2018-09-06"	"191"	"2,3,9,7,6"	"2"	"3"	"9"	"7"	"6"
"180906192"	"2018-09-06"	"192"	"4,4,8,1,2"	"4"	"4"	"8"	"1"	"2"
"180906193"	"2018-09-06"	"193"	"1,4,4,6,9"	"1"	"4"	"4"	"6"	"9"
"180906194"	"2018-09-06"	"194"	"5,1,0,8,3"	"5"	"1"	"0"	"8"	"3"
"180906195"	"2018-09-06"	"195"	"7,3,4,9,6"	"7"	"3"	"4"	"9"	"6"
"180906196"	"2018-09-06"	"196"	"8,6,5,0,9"	"8"	"6"	"5"	"0"	"9"
"180906197"	"2018-09-06"	"197"	"2,1,9,4,4"	"2"	"1"	"9"	"4"	"4"
"180906198"	"2018-09-06"	"198"	"4,9,1,2,5"	"4"	"9"	"1"	"2"	"5"
"180906199"	"2018-09-06"	"199"	"4,8,7,5,7"	"4"	"8"	"7"	"5"	"7"
"180906200"	"2018-09-06"	"200"	"2,3,9,0,7"	"2"	"3"	"9"	"0"	"7"
"180906201"	"2018-09-06"	"201"	"7,5,4,3,3"	"7"	"5"	"4"	"3"	"3"
"180906202"	"2018-09-06"	"202"	"3,5,0,1,5"	"3"	"5"	"0"	"1"	"5"
"180906203"	"2018-09-06"	"203"	"1,5,0,8,8"	"1"	"5"	"0"	"8"	"8"
"180906204"	"2018-09-06"	"204"	"5,0,0,4,5"	"5"	"0"	"0"	"4"	"5"
"180906205"	"2018-09-06"	"205"	"6,9,5,4,4"	"6"	"9"	"5"	"4"	"4"
"180906206"	"2018-09-06"	"206"	"9,6,4,4,5"	"9"	"6"	"4"	"4"	"5"
"180906207"	"2018-09-06"	"207"	"3,5,6,2,0"	"3"	"5"	"6"	"2"	"0"
"180906208"	"2018-09-06"	"208"	"6,1,0,6,2"	"6"	"1"	"0"	"6"	"2"
"180906209"	"2018-09-06"	"209"	"5,6,3,9,8"	"5"	"6"	"3"	"9"	"8"
"180906210"	"2018-09-06"	"210"	"8,8,2,7,9"	"8"	"8"	"2"	"7"	"9"
"180906211"	"2018-09-06"	"211"	"7,0,8,4,9"	"7"	"0"	"8"	"4"	"9"
"180906212"	"2018-09-06"	"212"	"3,3,7,0,1"	"3"	"3"	"7"	"0"	"1"
"180906213"	"2018-09-06"	"213"	"7,1,2,7,0"	"7"	"1"	"2"	"7"	"0"
"180906214"	"2018-09-06"	"214"	"4,5,9,2,4"	"4"	"5"	"9"	"2"	"4"
"180906215"	"2018-09-06"	"215"	"0,9,4,9,7"	"0"	"9"	"4"	"9"	"7"
"180906216"	"2018-09-06"	"216"	"5,1,8,3,8"	"5"	"1"	"8"	"3"	"8"
"180906217"	"2018-09-06"	"217"	"6,0,5,4,8"	"6"	"0"	"5"	"4"	"8"
"180906218"	"2018-09-06"	"218"	"8,1,9,3,1"	"8"	"1"	"9"	"3"	"1"
"180906219"	"2018-09-06"	"219"	"7,4,5,7,9"	"7"	"4"	"5"	"7"	"9"
"180906220"	"2018-09-06"	"220"	"6,7,2,9,3"	"6"	"7"	"2"	"9"	"3"
"180906221"	"2018-09-06"	"221"	"2,2,4,6,4"	"2"	"2"	"4"	"6"	"4"
"180906222"	"2018-09-06"	"222"	"9,4,5,4,1"	"9"	"4"	"5"	"4"	"1"
"180906223"	"2018-09-06"	"223"	"2,4,0,9,2"	"2"	"4"	"0"	"9"	"2"
"180906224"	"2018-09-06"	"224"	"0,4,8,7,0"	"0"	"4"	"8"	"7"	"0"
